measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Western Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1992,215.09095949227728,239.47256287470194,192.14015423131272
Deaths,Western Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.05553524976813607,0.06183043965797063,0.04960948373149672
Deaths,Western Europe,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.038264951928826736,0.04248032065809164,0.03440655785281538
Deaths,Andean Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1992,21.609276768728975,34.95250664880665,11.53949891372507
Deaths,Andean Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.05451294493991381,0.08817343083020893,0.029110278684957986
Deaths,Andean Latin America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.05624652839445734,0.09181527478560227,0.029613798806077122
Deaths,Tropical Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1992,81.72674692445871,119.16524266245207,55.844508558375175
Deaths,Tropical Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.05186315745301836,0.07562133543431543,0.03543849044825576
Deaths,Tropical Latin America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.05967650973733127,0.08268372635324557,0.0418126327295522
Deaths,Central Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1992,201.95210894994293,225.2519349884606,183.245882687517
Deaths,Central Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.11764095724783916,0.13121355053805725,0.10674422348532184
Deaths,Central Latin America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.16258822956581812,0.17853190409536882,0.14852922067451535
Deaths,Southern Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1992,0.82616588157307,0.9828278043931893,0.7102410653165798
