measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44635,High SDI,1,Male,19,70-74 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,11.999097003038067,16.590365215647118,9.022969187515056
1,Deaths,44635,High SDI,2,Female,19,70-74 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,8.98126052791658,13.245247510401882,6.07496606483548
1,Deaths,44635,High SDI,3,Both,19,70-74 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,20.98035753095461,29.97988507207623,15.269229661720757
1,Deaths,44635,High SDI,1,Male,19,70-74 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.04794359091876269,0.06628846178095468,0.036052174883601164
1,Deaths,44635,High SDI,2,Female,19,70-74 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.03169895981155017,0.04674851232977882,0.021441322690415508
1,Deaths,44635,High SDI,3,Both,19,70-74 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.039318133345995765,0.05618365260088515,0.02861522293146797
1,Deaths,44635,High SDI,1,Male,20,75-79 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,11.071499993797632,14.63776698654963,8.784943974098432
1,Deaths,44635,High SDI,2,Female,20,75-79 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,8.801340674081732,13.15513854023321,6.183287113137838
1,Deaths,44635,High SDI,3,Both,20,75-79 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,19.872840667879366,26.931604304520025,15.175054164640763
1,Deaths,44635,High SDI,1,Male,20,75-79 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.06779396458338971,0.08963123851528547,0.05379272736130919
1,Deaths,44635,High SDI,2,Female,20,75-79 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.0442677908044995,0.06616593340355052,0.031099859730983684
